stock,date,price,approved
AAPL,08-02-2013,67.8542,False
AAPL,11-02-2013,68.5614,False
AAPL,12-02-2013,66.8428,False
AAPL,13-02-2013,66.7156,False
AAPL,14-02-2013,66.6556,False
AAPL,15-02-2013,65.7371,False
AAPL,19-02-2013,65.7128,False
AAPL,20-02-2013,64.1214,False
AAPL,21-02-2013,63.7228,False
AAPL,22-02-2013,64.4014,False
AAPL,25-02-2013,63.2571,False
AAPL,26-02-2013,64.1385,False
AAPL,27-02-2013,63.5099,False
AAPL,28-02-2013,63.0571,False
AAPL,01-03-2013,61.4957,False
AAPL,04-03-2013,60.0071,False
AAPL,05-03-2013,61.5919,False
AAPL,06-03-2013,60.8088,False
AAPL,07-03-2013,61.5117,False
AAPL,08-03-2013,61.6742,False
AAPL,11-03-2013,62.5528,False
AAPL,12-03-2013,61.2042,False
AAPL,13-03-2013,61.1928,False
AAPL,14-03-2013,61.7857,False
AAPL,15-03-2013,63.3799,False
AAPL,18-03-2013,65.1028,False
AAPL,19-03-2013,64.9271,False
AAPL,20-03-2013,64.5828,False
AAPL,21-03-2013,64.6756,False
AAPL,22-03-2013,65.9871,False
AAPL,25-03-2013,66.2256,False
AAPL,26-03-2013,65.8765,False
AAPL,27-03-2013,64.5828,False
AAPL,28-03-2013,63.2371,False
AAPL,01-04-2013,61.2728,False
AAPL,02-04-2013,61.3988,False
AAPL,03-04-2013,61.7128,False
AAPL,04-04-2013,61.1028,False
AAPL,05-04-2013,60.4571,False
AAPL,08-04-2013,60.8871,False
AAPL,09-04-2013,60.9971,False
AAPL,10-04-2013,62.2414,False
AAPL,11-04-2013,62.0471,False
AAPL,12-04-2013,61.3999,False
AAPL,15-04-2013,59.9785,False
AAPL,16-04-2013,60.8914,False
AAPL,17-04-2013,57.5428,False
AAPL,18-04-2013,56.0071,False
AAPL,19-04-2013,55.7899,False
AAPL,22-04-2013,56.9528,False
AAPL,23-04-2013,58.0185,False
AAPL,24-04-2013,57.9231,False
AAPL,25-04-2013,58.3399,False
AAPL,26-04-2013,59.6007,False
AAPL,29-04-2013,61.4457,False
AAPL,30-04-2013,63.2542,False
AAPL,01-05-2013,62.7557,False
AAPL,02-05-2013,63.6457,False
AAPL,03-05-2013,64.2828,False
AAPL,06-05-2013,65.8156,False
AAPL,07-05-2013,65.5225,False
AAPL,08-05-2013,66.2628,False
AAPL,09-05-2013,65.2528,False
AAPL,10-05-2013,64.7099,False
AAPL,13-05-2013,64.9628,False
AAPL,14-05-2013,63.4085,False
AAPL,15-05-2013,61.2642,False
AAPL,16-05-2013,62.0825,False
AAPL,17-05-2013,61.8942,False
AAPL,20-05-2013,63.2757,False
AAPL,21-05-2013,62.8085,False
AAPL,22-05-2013,63.0505,False
AAPL,23-05-2013,63.1628,False
AAPL,24-05-2013,63.5928,False
AAPL,28-05-2013,63.0627,False
AAPL,29-05-2013,63.5642,False
AAPL,30-05-2013,64.5114,False
AAPL,31-05-2013,64.2478,False
AAPL,03-06-2013,64.3885,False
AAPL,04-06-2013,64.1871,False
AAPL,05-06-2013,63.5871,False
AAPL,06-06-2013,62.6371,False
AAPL,07-06-2013,63.1158,False
AAPL,10-06-2013,62.6985,False
AAPL,11-06-2013,62.5142,False
AAPL,12-06-2013,61.7414,False
AAPL,13-06-2013,62.2807,False
AAPL,14-06-2013,61.4357,False
AAPL,17-06-2013,61.7142,False
AAPL,18-06-2013,61.6814,False
AAPL,19-06-2013,60.4285,False
AAPL,20-06-2013,59.5482,False
AAPL,21-06-2013,59.0714,False
AAPL,24-06-2013,57.5057,False
AAPL,25-06-2013,57.5185,False
AAPL,26-06-2013,56.8671,False
AAPL,27-06-2013,56.2542,False
AAPL,28-06-2013,56.6471,False
AAPL,01-07-2013,58.4599,False
AAPL,02-07-2013,59.7842,False
AAPL,03-07-2013,60.1142,False
AAPL,05-07-2013,59.6314,False
AAPL,08-07-2013,59.2928,False
AAPL,09-07-2013,60.3357,False
